"","book","release","chapter","page","variable_name","old_name","order","vector","item_id","lrn_question_reference","lrn_activity_reference","lrn_question_position","item_type","lrn_type","prompt","lrn_option_0","lrn_option_1","lrn_option_2","lrn_option_3","lrn_option_4","lrn_option_5","lrn_option_6","lrn_option_7","lrn_option_8","lrn_option_9","lrn_option_10","lrn_option_11"
"178","College / Statistics and Data Science (ABC)","v4.0","Chapter 7 - Adding an Explanatory Variable to the Model","7.1 Explaining Variation","exp_pulse7",NA,1,FALSE,"Pulse7","9b51a01e-d395-455c-b2ec-da960b558fd8","4d7df880-8b71-49b9-bd9c-a7127bca1220",NA,"learnosity","mcq","<p><strong>You're about to start a new chapter! Before you do, reflect on how it's going so far and rate your level of agreement with each of following statements.</strong></p>


<p>I am confident in what I have learned so far in this course.</p>","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"179","College / Statistics and Data Science (ABC)","v4.0","Chapter 7 - Adding an Explanatory Variable to the Model","7.1 Explaining Variation","iv_pulse7",NA,1,FALSE,"Pulse7","b841ee7b-93a6-449b-8bc7-4b7ee6dd3c07","4d7df880-8b71-49b9-bd9c-a7127bca1220",NA,"learnosity","mcq","I think this class is interesting.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"180","College / Statistics and Data Science (ABC)","v4.0","Chapter 7 - Adding an Explanatory Variable to the Model","7.1 Explaining Variation","uv_pulse7",NA,1,FALSE,"Pulse7","f6a69d6a-ce8f-49fd-ad92-24c16673b91b","4d7df880-8b71-49b9-bd9c-a7127bca1220",NA,"learnosity","mcq","I think what I have learned so far in this course is useful.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"181","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.1 Groups versus Quantitative Explanatory Variables","cost_pulse8",NA,1,FALSE,"Pulse8","9914c39b-7e05-42e8-9f48-b12753ef4183","0b56a95a-9687-407d-a68c-915e42d7c315",NA,"learnosity","mcq","I am unable to put in the time needed to do well in this course.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"182","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.1 Groups versus Quantitative Explanatory Variables","exp_pulse8",NA,1,FALSE,"Pulse8","e8d7cea2-5be0-414b-a554-58e1cbb93d84","0b56a95a-9687-407d-a68c-915e42d7c315",NA,"learnosity","mcq","<p><strong>You're about to start a new chapter! Before you do, reflect on how it's going so far and rate your level of agreement with each of following statements.</strong></p>


<p>I am confident in what I have learned so far in this course.</p>","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"183","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.1 Groups versus Quantitative Explanatory Variables","iv_pulse8",NA,1,FALSE,"Pulse8","aae0cd2e-83c1-416f-aa3f-0a68f2008ec8","0b56a95a-9687-407d-a68c-915e42d7c315",NA,"learnosity","mcq","I think this class is interesting.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"184","College / Statistics and Data Science (ABC)","v4.0","Chapter 8 - Models with a Quantitative Explanatory Variable","8.1 Groups versus Quantitative Explanatory Variables","uv_pulse8",NA,1,FALSE,"Pulse8","64de798f-a23a-4987-adab-9e6b6d6037d6","0b56a95a-9687-407d-a68c-915e42d7c315",NA,"learnosity","mcq","I think what I have learned so far in this course is useful.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"185","College / Statistics and Data Science (ABC)","v4.0","Chapter 9 - The Logic of Inference","9.1 The Problem of Inference","cost_pulse9",NA,1,FALSE,"Pulse9","5871d1da-cbca-4aa7-9cb5-e57be066c6c9","c839b7fa-4499-4ea8-b360-f39acf74a85c",NA,"learnosity","mcq","I am unable to put in the time needed to do well in this course.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"186","College / Statistics and Data Science (ABC)","v4.0","Chapter 9 - The Logic of Inference","9.1 The Problem of Inference","exp_pulse9",NA,1,FALSE,"Pulse9","7361f3f0-3077-400f-bd48-d19496b02566","c839b7fa-4499-4ea8-b360-f39acf74a85c",NA,"learnosity","mcq","<p><strong>You're about to start a new chapter! Before you do, reflect on how it's going so far and rate your level of agreement with each of following statements.</strong></p>


<p>I am confident in what I have learned so far in this course.</p>","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"187","College / Statistics and Data Science (ABC)","v4.0","Chapter 9 - The Logic of Inference","9.1 The Problem of Inference","iv_pulse9",NA,1,FALSE,"Pulse9","43f01bbf-c60d-4314-8d82-1d94dbff5f51","c839b7fa-4499-4ea8-b360-f39acf74a85c",NA,"learnosity","mcq","I think this class is interesting.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"188","College / Statistics and Data Science (ABC)","v4.0","Chapter 9 - The Logic of Inference","9.1 The Problem of Inference","uv_pulse9",NA,1,FALSE,"Pulse9","573ac054-e7d8-4f33-bbfc-7990a6c368ef","c839b7fa-4499-4ea8-b360-f39acf74a85c",NA,"learnosity","mcq","I think what I have learned so far in this course is useful.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree",NA,"","",NA,NA,NA
"189","College / Statistics and Data Science (ABC)","v4.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","ma_prep_ap_calc_hs",NA,1,TRUE,"Pre_CollegeOnly_v2","02f0aa26-e2b3-48f8-8145-94343cc59a48","Pre_Survey_0722",NA,"learnosity-activity","mcq","Which of the following courses have you successfully completed? (Check all that apply)","AP Calculus in high school","","","","","",NA,"","",NA,NA,NA
"190","College / Statistics and Data Science (ABC)","v4.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","ma_prep_ap_calc_college",NA,1,TRUE,"Pre_CollegeOnly_v2","02f0aa26-e2b3-48f8-8145-94343cc59a48","Pre_Survey_0722",NA,"learnosity-activity","mcq","Which of the following courses have you successfully completed? (Check all that apply)","","Calculus in college","","","","",NA,"","",NA,NA,NA
"191","College / Statistics and Data Science (ABC)","v4.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","ma_prep_ap_stats_hs",NA,1,TRUE,"Pre_CollegeOnly_v2","02f0aa26-e2b3-48f8-8145-94343cc59a48","Pre_Survey_0722",NA,"learnosity-activity","mcq","Which of the following courses have you successfully completed? (Check all that apply)","","","AP Statistics in high school","","","",NA,"","",NA,NA,NA
"192","College / Statistics and Data Science (ABC)","v4.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","ma_prep_diff_stats_course",NA,1,TRUE,"Pre_CollegeOnly_v2","02f0aa26-e2b3-48f8-8145-94343cc59a48","Pre_Survey_0722",NA,"learnosity-activity","mcq","Which of the following courses have you successfully completed? (Check all that apply)","","","","A different statistics course (besides this one) in college","","",NA,"","",NA,NA,NA
"193",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","exp1_1","Pre_EVC",1,TRUE,"Pre_EVC","7688704b-53af-4779-9018-3242534d541d","Pre_Survey_1222",NA,"learnosity-activity","","I am confident I can learn the material in this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"194",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","exp2_1","Pre_EVC",2,TRUE,"Pre_EVC","7688704b-53af-4779-9018-3242534d541d","Pre_Survey_1222",NA,"learnosity-activity","","I expect to do well in this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"195",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","uv_f1_1","Pre_EVC",3,TRUE,"Pre_EVC","7688704b-53af-4779-9018-3242534d541d","Pre_Survey_1222",NA,"learnosity-activity","","What I'm going to learn in this class will be useful in the future.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"196",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","uv_j1_1","Pre_EVC",4,TRUE,"Pre_EVC","7688704b-53af-4779-9018-3242534d541d","Pre_Survey_1222",NA,"learnosity-activity","","Good grades in this class will improve my job and career chances.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"197",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","uv_d1_1","Pre_EVC",5,TRUE,"Pre_EVC","7688704b-53af-4779-9018-3242534d541d","Pre_Survey_1222",NA,"learnosity-activity","","What I'm going to learn in this class will be relevant to my everyday life.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"198",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","iv1_1","Pre_EVC",6,TRUE,"Pre_EVC","7688704b-53af-4779-9018-3242534d541d","Pre_Survey_1222",NA,"learnosity-activity","","I think this class will be interesting.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"199",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","iv2_1","Pre_EVC",7,TRUE,"Pre_EVC","7688704b-53af-4779-9018-3242534d541d","Pre_Survey_1222",NA,"learnosity-activity","","I will like this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"200",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","cost2_1","Pre_EVC",8,TRUE,"Pre_EVC","7688704b-53af-4779-9018-3242534d541d","Pre_Survey_1222",NA,"learnosity-activity","","I think I will have to give up too much to do well in this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"201",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","cost3_1","Pre-EVC",9,TRUE,"Pre-EVC","7688704b-53af-4779-9018-3242534d541d","Pre_Survey_1222",NA,"learnosity-activity","","I think this class is going to be too stressful for me","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"202",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","r_joy_1","Pre_R",1,TRUE,"Pre_R","f1aff1e0-1da2-4fb9-90d6-69276f068330","Pre_Survey_1222",NA,"learnosity-activity","","I think that learning R programming will be enjoyable.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"203",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","r_job_1","Pre_R",2,TRUE,"Pre_R","f1aff1e0-1da2-4fb9-90d6-69276f068330","Pre_Survey_1222",NA,"learnosity-activity","","I welcome the possibility of having a job in the future that involves R programming.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"204",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","r_difficult_1","Pre_R",3,TRUE,"Pre_R","f1aff1e0-1da2-4fb9-90d6-69276f068330","Pre_Survey_1222",NA,"learnosity-activity","","I believe that learning R programming will be difficult.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"205",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","r_anx_1","Pre_R",4,TRUE,"Pre_R","f1aff1e0-1da2-4fb9-90d6-69276f068330","Pre_Survey_1222",NA,"learnosity-activity","","I am anxious/nervous about learning R programming.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"206",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","ms1_1","Pre_Mindset_v2",1,TRUE,"Pre_Mindset_v2","ffbe1244-f12d-48e1-ab6d-ec5a92c2ccca","Pre_Survey_1222",NA,"learnosity-activity","","You can learn new things, but you can't really change your basic math ability.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"207",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","ms2_1","Pre_Mindset_v2",2,TRUE,"Pre_Mindset_v2","ffbe1244-f12d-48e1-ab6d-ec5a92c2ccca","Pre_Survey_1222",NA,"learnosity-activity","","My math ability is something about me that I can't change much.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"208",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","f1_1","Pre_Int_Bel_GO_Att",1,TRUE,"Pre_Int_Bel_GO_Att","4709dd7b-fec1-4c77-b2bf-ebea0b8ac3b5","Pre_Survey_1222",NA,"learnosity-activity","","I look forward to learning more about math, statistics, or data science.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"209",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","f2_1","Pre_Int_Bel_GO_Att",2,TRUE,"Pre_Int_Bel_GO_Att","4709dd7b-fec1-4c77-b2bf-ebea0b8ac3b5","Pre_Survey_1222",NA,"learnosity-activity","","I want to take more math, statistics, or data science classes in the future.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"210",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","f3_1","Pre_Int_Bel_GO_Att",3,TRUE,"Pre_Int_Bel_GO_Att","4709dd7b-fec1-4c77-b2bf-ebea0b8ac3b5","Pre_Survey_1222",NA,"learnosity-activity","","I would be interested in having a job someday that involved things like math, science, statistics, or data science.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"211",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","identity_1","Pre_Int_Bel_GO_Att",4,TRUE,"Pre_Int_Bel_GO_Att","4709dd7b-fec1-4c77-b2bf-ebea0b8ac3b5","Pre_Survey_1222",NA,"learnosity-activity","","I see myself as a statistics person.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"212",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","blc1_1","Pre_Int_Bel_GO_Att",5,TRUE,"Pre_Int_Bel_GO_Att","4709dd7b-fec1-4c77-b2bf-ebea0b8ac3b5","Pre_Survey_1222",NA,"learnosity-activity","","I matter as a student in this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"213",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","blc2_1","Pre_Int_Bel_GO_Att",6,TRUE,"Pre_Int_Bel_GO_Att","4709dd7b-fec1-4c77-b2bf-ebea0b8ac3b5","Pre_Survey_1222",NA,"learnosity-activity","","I belong in this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"214",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","goal1_1","Pre_Int_Bel_GO_Att",7,TRUE,"Pre_Int_Bel_GO_Att","4709dd7b-fec1-4c77-b2bf-ebea0b8ac3b5","Pre_Survey_1222",NA,"learnosity-activity","","To be honest, it is very important for me to do well compared to others in this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"215",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","goal2_1","Pre_Int_Bel_GO_Att",8,TRUE,"Pre_Int_Bel_GO_Att","4709dd7b-fec1-4c77-b2bf-ebea0b8ac3b5","Pre_Survey_1222",NA,"learnosity-activity","","Honestly, the most important thing for me in this class is to understand the content as thoroughly as possible.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"216",NA,"v5.0","Getting Started (Don't Skip This Part)","Student Survey (REQUIRED)","mem_1","Pre_Int_Bel_GO_Att",9,TRUE,"Pre_Int_Bel_GO_Att","4709dd7b-fec1-4c77-b2bf-ebea0b8ac3b5","Pre_Survey_1222",NA,"learnosity-activity","","I expect that this course will require a lot of memorization.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"217",NA,"v5.0","Chapter 4 - Explaining Variation","4.14 Quantifying the Data Generating Process","exp1_2","Mid1_EVC",1,TRUE,"Mid1_EVC","9813e0fc-51bd-4351-8193-f337ff6c9ad3","Mid1_Survey_1222",NA,"learnosity-activity","","I am confident I can learn the material in this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"218",NA,"v5.0","Chapter 4 - Explaining Variation","4.14 Quantifying the Data Generating Process","exp2_2","Mid1_EVC",2,TRUE,"Mid1_EVC","9813e0fc-51bd-4351-8193-f337ff6c9ad3","Mid1_Survey_1222",NA,"learnosity-activity","","I expect to do well in this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"219",NA,"v5.0","Chapter 4 - Explaining Variation","4.14 Quantifying the Data Generating Process","uv_f1_2","Mid1_EVC",3,TRUE,"Mid1_EVC","9813e0fc-51bd-4351-8193-f337ff6c9ad3","Mid1_Survey_1222",NA,"learnosity-activity","","What I'm learning in this class will be useful in the future.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"220",NA,"v5.0","Chapter 4 - Explaining Variation","4.14 Quantifying the Data Generating Process","uv_j1_2","Mid1_EVC",4,TRUE,"Mid1_EVC","9813e0fc-51bd-4351-8193-f337ff6c9ad3","Mid1_Survey_1222",NA,"learnosity-activity","","Good grades in this class will improve my job and career chances.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"221",NA,"v5.0","Chapter 4 - Explaining Variation","4.14 Quantifying the Data Generating Process","uv_d1_2","Mid1_EVC",5,TRUE,"Mid1_EVC","9813e0fc-51bd-4351-8193-f337ff6c9ad3","Mid1_Survey_1222",NA,"learnosity-activity","","What we learn in this class is relevant to my everyday life.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"222",NA,"v5.0","Chapter 4 - Explaining Variation","4.14 Quantifying the Data Generating Process","iv1_2","Mid1_EVC",6,TRUE,"Mid1_EVC","9813e0fc-51bd-4351-8193-f337ff6c9ad3","Mid1_Survey_1222",NA,"learnosity-activity","","I think this class is interesting.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"223",NA,"v5.0","Chapter 4 - Explaining Variation","4.14 Quantifying the Data Generating Process","iv2_2","Mid1_EVC",7,TRUE,"Mid1_EVC","9813e0fc-51bd-4351-8193-f337ff6c9ad3","Mid1_Survey_1222",NA,"learnosity-activity","","I like this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"224",NA,"v5.0","Chapter 4 - Explaining Variation","4.14 Quantifying the Data Generating Process","cost2_2","Mid1_EVC",8,TRUE,"Mid1_EVC","9813e0fc-51bd-4351-8193-f337ff6c9ad3","Mid1_Survey_1222",NA,"learnosity-activity","","I have to give up too much to do well in this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"225",NA,"v5.0","Chapter 4 - Explaining Variation","4.14 Quantifying the Data Generating Process","cost3_2","Mid1_EVC",9,TRUE,"Mid1_EVC","9813e0fc-51bd-4351-8193-f337ff6c9ad3","Mid1_Survey_1222",NA,"learnosity-activity","","This class is too stressful for me.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"226",NA,"v5.0","Chapter 4 - Explaining Variation","4.14 Quantifying the Data Generating Process","ms1_2","Mid1_Mindset_v2",1,TRUE,"Mid1_Mindset_v2","1945a690-61b4-43b8-a711-7eb00894d003","Mid1_Survey_1222",NA,"learnosity-activity","","You can learn new things, but you can't really change your basic math ability.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"227",NA,"v5.0","Chapter 4 - Explaining Variation","4.14 Quantifying the Data Generating Process","ms2_2","Mid1_Mindset_v2",2,TRUE,"Mid1_Mindset_v2","1945a690-61b4-43b8-a711-7eb00894d003","Mid1_Survey_1222",NA,"learnosity-activity","","My math ability is something about me that I can't change much.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"228",NA,"v5.0","Chapter 4 - Explaining Variation","4.14 Quantifying the Data Generating Process","tv1_2","Mid1_Mindset_v2",3,TRUE,"Mid1_Mindset_v2","1945a690-61b4-43b8-a711-7eb00894d003","Mid1_Survey_1222",NA,"learnosity-activity","","My instructor demonstrates how what we are learning is useful.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"229",NA,"v5.0","Chapter 4 - Explaining Variation","4.14 Quantifying the Data Generating Process","tv2_2","Mid1_Mindset_v2",4,TRUE,"Mid1_Mindset_v2","1945a690-61b4-43b8-a711-7eb00894d003","Mid1_Survey_1222",NA,"learnosity-activity","","My instructor explains how what we are learning may be important.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"230",NA,"v5.0","Chapter 4 - Explaining Variation","4.14 Quantifying the Data Generating Process","im1_2","Mid1_Mindset_v2",5,TRUE,"Mid1_Mindset_v2","1945a690-61b4-43b8-a711-7eb00894d003","Mid1_Survey_1222",NA,"learnosity-activity","","My instructor seems to believe that students have a certain amount of intelligence, and they really can't do much to change it.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"231",NA,"v5.0","Chapter 4 - Explaining Variation","4.14 Quantifying the Data Generating Process","im2_2","Mid1_Mindset_v2",6,TRUE,"Mid1_Mindset_v2","1945a690-61b4-43b8-a711-7eb00894d003","Mid1_Survey_1222",NA,"learnosity-activity","","My instructor seems to believe that students can learn new things, but they can't really change their basic intelligence.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"232",NA,"v5.0","Chapter 9 - Models with a Quantitative Explanatory Variable","9.11 Limitations to Keep in Mind","exp1_3","Mid2_EVC",1,TRUE,"Mid2_EVC","82f6294d-36c6-4d40-955a-2ef1361c8db2","Mid2_Survey_1222",NA,"learnosity-activity","","I am confident I can learn the material in this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"233",NA,"v5.0","Chapter 9 - Models with a Quantitative Explanatory Variable","9.11 Limitations to Keep in Mind","exp2_3","Mid2_EVC",2,TRUE,"Mid2_EVC","82f6294d-36c6-4d40-955a-2ef1361c8db2","Mid2_Survey_1222",NA,"learnosity-activity","","I expect to do well in this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"234",NA,"v5.0","Chapter 9 - Models with a Quantitative Explanatory Variable","9.11 Limitations to Keep in Mind","uv_f1_3","Mid2_EVC",3,TRUE,"Mid2_EVC","82f6294d-36c6-4d40-955a-2ef1361c8db2","Mid2_Survey_1222",NA,"learnosity-activity","","What I'm learning in this class will be useful in the future.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"235",NA,"v5.0","Chapter 9 - Models with a Quantitative Explanatory Variable","9.11 Limitations to Keep in Mind","uv_j1_3","Mid2_EVC",4,TRUE,"Mid2_EVC","82f6294d-36c6-4d40-955a-2ef1361c8db2","Mid2_Survey_1222",NA,"learnosity-activity","","Good grades in this class will improve my job and career chances.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"236",NA,"v5.0","Chapter 9 - Models with a Quantitative Explanatory Variable","9.11 Limitations to Keep in Mind","uv_d1_3","Mid2_EVC",5,TRUE,"Mid2_EVC","82f6294d-36c6-4d40-955a-2ef1361c8db2","Mid2_Survey_1222",NA,"learnosity-activity","","What we learn in this class is relevant to my everyday life.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"237",NA,"v5.0","Chapter 9 - Models with a Quantitative Explanatory Variable","9.11 Limitations to Keep in Mind","iv1_3","Mid2_EVC",6,TRUE,"Mid2_EVC","82f6294d-36c6-4d40-955a-2ef1361c8db2","Mid2_Survey_1222",NA,"learnosity-activity","","I think this class is interesting.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"238",NA,"v5.0","Chapter 9 - Models with a Quantitative Explanatory Variable","9.11 Limitations to Keep in Mind","iv2_3","Mid2_EVC",7,TRUE,"Mid2_EVC","82f6294d-36c6-4d40-955a-2ef1361c8db2","Mid2_Survey_1222",NA,"learnosity-activity","","I like this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"239",NA,"v5.0","Chapter 9 - Models with a Quantitative Explanatory Variable","9.11 Limitations to Keep in Mind","cost2_3","Mid2_EVC",8,TRUE,"Mid2_EVC","82f6294d-36c6-4d40-955a-2ef1361c8db2","Mid2_Survey_1222",NA,"learnosity-activity","","I have to give up too much to do well in this class.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"240",NA,"v5.0","Chapter 9 - Models with a Quantitative Explanatory Variable","9.11 Limitations to Keep in Mind","cost3_3","Mid2_EVC",9,TRUE,"Mid2_EVC","82f6294d-36c6-4d40-955a-2ef1361c8db2","Mid2_Survey_1222",NA,"learnosity-activity","","This class is too stressful for me.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"241",NA,"v5.0","Chapter 9 - Models with a Quantitative Explanatory Variable","9.11 Limitations to Keep in Mind","ms1_3","Mid2_Mindset_v2",1,TRUE,"Mid2_Mindset_v2","9e659d99-1ef4-491c-84e0-9ce00f9d9945","Mid2_Survey_1222",NA,"learnosity-activity","","You can learn new things, but you can't really change your basic math ability.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"242",NA,"v5.0","Chapter 9 - Models with a Quantitative Explanatory Variable","9.11 Limitations to Keep in Mind","ms2_3","Mid2_Mindset_v2",2,TRUE,"Mid2_Mindset_v2","9e659d99-1ef4-491c-84e0-9ce00f9d9945","Mid2_Survey_1222",NA,"learnosity-activity","","My math ability is something about me that I can't change much.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
"243",NA,"v5.0","Chapter 9 - Models with a Quantitative Explanatory Variable","9.11 Limitations to Keep in Mind","tv1_3","Mid2_Mindset_v2",3,TRUE,"Mid2_Mindset_v2","9e659d99-1ef4-491c-84e0-9ce00f9d9945","Mid2_Survey_1222",NA,"learnosity-activity","","My instructor demonstrates how what we are learning is useful.","Strongly disagree","Disagree","Slightly disagree","Slightly agree","Agree","Strongly agree","","","",NA,NA,NA
